Series title,Year,Amount
Total Gross Domestic Product at Market Prices,2006,717421
Total Gross Domestic Product at Market Prices,2007,810793
Total Gross Domestic Product at Market Prices,2008,914804
Total Gross Domestic Product at Market Prices,2009,1012137
Total Gross Domestic Product at Market Prices,2010,1089913
Total Gross Domestic Product at Market Prices,2011,1171484
Total Gross Domestic Product at Market Prices,2012,1259076
Total Gross Domestic Product at Market Prices,2013,1336576
Total Gross Domestic Product at Market Prices,2014,1462828
Total Gross Domestic Product at Market Prices,2015,1563933
Taxes Less Subsidies on Products,2006,91325
Taxes Less Subsidies on Products,2007,106491
Taxes Less Subsidies on Products,2008,122226
Taxes Less Subsidies on Products,2009,131115
Taxes Less Subsidies on Products,2010,141130
Taxes Less Subsidies on Products,2011,166804
Taxes Less Subsidies on Products,2012,175028
Taxes Less Subsidies on Products,2013,196462
Taxes Less Subsidies on Products,2014,223469
Taxes Less Subsidies on Products,2015,240903
Total Value Added at Basic Prices,2006,626096
Total Value Added at Basic Prices,2007,704301
Total Value Added at Basic Prices,2008,792577
Total Value Added at Basic Prices,2009,881022
Total Value Added at Basic Prices,2010,948784
Total Value Added at Basic Prices,2011,1004680
Total Value Added at Basic Prices,2012,1084048
Total Value Added at Basic Prices,2013,1140114
Total Value Added at Basic Prices,2014,1239359
Total Value Added at Basic Prices,2015,1323031
Agriculture Forestry  &  Fishing,2006,38080
Agriculture Forestry  &  Fishing,2007,41579
Agriculture Forestry  &  Fishing,2008,42289
Agriculture Forestry  &  Fishing,2009,50674
Agriculture Forestry  &  Fishing,2010,58939
Agriculture Forestry  &  Fishing,2011,63393
Agriculture Forestry  &  Fishing,2012,73931
Agriculture Forestry  &  Fishing,2013,76705
Agriculture Forestry  &  Fishing,2014,88340
Agriculture Forestry  &  Fishing,2015,94615
Mining & Quarrying,2006,25316
Mining & Quarrying,2007,28376
Mining & Quarrying,2008,29875
Mining & Quarrying,2009,13553
Mining & Quarrying,2010,8841
Mining & Quarrying,2011,13905
Mining & Quarrying,2012,15494
Mining & Quarrying,2013,14623
Mining & Quarrying,2014,16105
Mining & Quarrying,2015,18457
Manufacture,2006,55657
Manufacture,2007,61296
Manufacture,2008,71169
Manufacture,2009,81486
Manufacture,2010,90078
Manufacture,2011,89953
Manufacture,2012,100281
Manufacture,2013,108370
Manufacture,2014,117998
Manufacture,2015,124127
Electricity & Water Supply,2006,22380
Electricity & Water Supply,2007,23115
Electricity & Water Supply,2008,26058
Electricity & Water Supply,2009,29557
Electricity & Water Supply,2010,31790
Electricity & Water Supply,2011,32880
Electricity & Water Supply,2012,35533
Electricity & Water Supply,2013,35633
Electricity & Water Supply,2014,40119
Electricity & Water Supply,2015,40653
Construction,2006,52782
Construction,2007,58137
Construction,2008,67110
Construction,2009,69676
Construction,2010,68046
Construction,2011,73918
Construction,2012,78239
Construction,2013,82123
Construction,2014,90200
Construction,2015,99708
Wholesale & Retail Trade; Repairs; Installation of Machinery & Equipment,2006,124545
Wholesale & Retail Trade; Repairs; Installation of Machinery & Equipment,2007,133594
Wholesale & Retail Trade; Repairs; Installation of Machinery & Equipment,2008,147376
Wholesale & Retail Trade; Repairs; Installation of Machinery & Equipment,2009,169376
Wholesale & Retail Trade; Repairs; Installation of Machinery & Equipment,2010,178273
Wholesale & Retail Trade; Repairs; Installation of Machinery & Equipment,2011,189802
Wholesale & Retail Trade; Repairs; Installation of Machinery & Equipment,2012,204630
Wholesale & Retail Trade; Repairs; Installation of Machinery & Equipment,2013,217412
Wholesale & Retail Trade; Repairs; Installation of Machinery & Equipment,2014,240534
Wholesale & Retail Trade; Repairs; Installation of Machinery & Equipment,2015,264603
Hotels  &  Restaurants,2006,30077
Hotels  &  Restaurants,2007,33908
Hotels  &  Restaurants,2008,38005
Hotels  &  Restaurants,2009,42042
Hotels  &  Restaurants,2010,45519
Hotels  &  Restaurants,2011,44227
Hotels  &  Restaurants,2012,46286
Hotels  &  Restaurants,2013,49409
Hotels  &  Restaurants,2014,55121
Hotels  &  Restaurants,2015,62142
Transport Storage & Communication,2006,71650
Transport Storage & Communication,2007,83407
Transport Storage & Communication,2008,91538
Transport Storage & Communication,2009,95111
Transport Storage & Communication,2010,100662
Transport Storage & Communication,2011,101526
Transport Storage & Communication,2012,103781
Transport Storage & Communication,2013,101473
Transport Storage & Communication,2014,107454
Transport Storage & Communication,2015,113970
Finance & Insurance Services,2006,62818
Finance & Insurance Services,2007,70290
Finance & Insurance Services,2008,83094
Finance & Insurance Services,2009,97246
Finance & Insurance Services,2010,104618
Finance & Insurance Services,2011,105143
Finance & Insurance Services,2012,111806
Finance & Insurance Services,2013,116324
Finance & Insurance Services,2014,123526
Finance & Insurance Services,2015,130379
Real Estate Renting & Business Activities,2006,62369
Real Estate Renting & Business Activities,2007,70646
Real Estate Renting & Business Activities,2008,83805
Real Estate Renting & Business Activities,2009,95561
Real Estate Renting & Business Activities,2010,106751
Real Estate Renting & Business Activities,2011,125869
Real Estate Renting & Business Activities,2012,132805
Real Estate Renting & Business Activities,2013,140217
Real Estate Renting & Business Activities,2014,147813
Real Estate Renting & Business Activities,2015,154709
Producers of  Government Services,2006,70306
Producers of  Government Services,2007,85999
Producers of  Government Services,2008,98042
Producers of  Government Services,2009,122938
Producers of  Government Services,2010,140646
Producers of  Government Services,2011,142769
Producers of  Government Services,2012,156785
Producers of  Government Services,2013,169998
Producers of  Government Services,2014,179614
Producers of  Government Services,2015,183106
Other Services,2006,40566
Other Services,2007,46254
Other Services,2008,51482
Other Services,2009,57557
Other Services,2010,61969
Other Services,2011,66073
Other Services,2012,71217
Other Services,2013,76497
Other Services,2014,82790
Other Services,2015,89093
Less Financial Intermediation Services Indirectly Measured  (FISIM),2006,30450
Less Financial Intermediation Services Indirectly Measured  (FISIM),2007,32299
Less Financial Intermediation Services Indirectly Measured  (FISIM),2008,37267
Less Financial Intermediation Services Indirectly Measured  (FISIM),2009,43755
Less Financial Intermediation Services Indirectly Measured  (FISIM),2010,47349
Less Financial Intermediation Services Indirectly Measured  (FISIM),2011,44778
Less Financial Intermediation Services Indirectly Measured  (FISIM),2012,46741
Less Financial Intermediation Services Indirectly Measured  (FISIM),2013,48670
Less Financial Intermediation Services Indirectly Measured  (FISIM),2014,50255
Less Financial Intermediation Services Indirectly Measured  (FISIM),2015,52532
